categoria,bairro,tipo_imovel,area_util,quartos,preco_venda,pred_real,erro_pct
Ótimo,Planalto Paulista,Casa de dois andares,300.0,3.0,1330000,1325303.0,0.35
Ótimo,Vila Ema,Apartamento,59.0,2.0,224000,220389.0,1.61
Ótimo,Vila Madalena,Apartamento,148.0,4.0,1190000,1170347.0,1.65
Ótimo,Cerqueira César,Apartamento,170.0,3.0,1190000,1169017.0,1.76
Ótimo,Vila Formosa,Apartamento,55.0,2.0,308000,297192.0,3.51
Regular,Vila Albertina,Casa de dois andares,190.0,3.0,503999,573053.0,13.7
Regular,Indianópolis,Apartamento,250.0,3.0,1610000,1808275.0,12.32
Regular,Santana,Apartamento,110.0,3.0,595000,525388.0,11.7
Regular,Jardim Morumbi,Apartamento,210.0,4.0,1295000,1553571.0,19.97
Regular,Cerqueira César,Flat,30.0,1.0,228900,258180.0,12.79
Ruim,Paraíso do Morumbi,Apartamento,286.0,4.0,930999,1805238.0,93.9
Ruim,Vila Nova Cachoeirinha,Apartamento,8.0,2.0,630000,341192.0,45.84
Ruim,Vila Morse,Apartamento,145.0,3.0,546000,850951.0,55.85
Ruim,Jardim Aricanduva,Casa,150.0,3.0,296800,485506.0,63.58
Ruim,Jardim Paulista,Apartamento,226.0,4.0,3832499,2063344.0,46.16
